BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
3252,SG,Eichberg,Eichberg,187,0.8820754716981132,1.0872093023255813,100,1.0,105.50401978973407,1.275003734997759,0.6789473684210527,109526,770851,0.15259375,Eichberg,0.0
4476,TG,Erlen,Erlen,198,0.9252336448598131,1.0588235294117647,140,0.5833333333333334,129.13306451612902,1.2425638153083598,1.1571109456440805,541984,1634533,0.15302951388888889,Erlen,0.28
4646,TG,Ermatingen,Ermatingen,244,1.029535864978903,1.0252100840336134,740,0.961038961038961,132.176906779661,0.9372491114321921,1.1345419847328244,134700,1693916,0.13317256944444444,Ermatingen,0.11
3342,SG,Eschenbach (SG),Eschenbach_SG,254,0.9202898550724637,1.1441441441441442,650,1.1206896551724137,118.32261835184103,1.1720169787293202,0.9625307125307125,847112,2605897,0.1601284722222222,Eschenbach (SG),0.12
4806,TG,Eschenz,Eschenz,219,0.9240506329113924,1.0735294117647058,270,1.0,109.3652445369407,1.0632001106347668,0.9158576051779935,324603,1987137,0.15019027777777777,Eschenz,0.05
4724,TG,Eschlikon,Eschlikon,214,0.9596412556053812,1.0541871921182266,320,1.1851851851851851,115.33306255077173,1.1608844098117928,1.048219178082192,932211,2509222,0.15113645833333333,Eschlikon,0.31
4561,TG,Felben-Wellhausen,Felben_Wellhausen,221,0.973568281938326,1.0625,830,0.7545454545454545,159.15185531649516,0.981490642514113,0.918388429752066,994790,2526014,0.15066493055555555,Felben-Wellhausen,0.62
4726,TG,Fischingen,Fischingen,213,0.9551569506726457,1.1833333333333333,100,0.8333333333333334,119.69241056502842,1.179384482715175,1.0532423208191126,373276,2447756,0.15633611111111112,Fischingen,0.0
3402,SG,Flawil,Flawil,208,0.9454545454545454,1.1063829787234043,350,0.6481481481481481,100.4326561324304,1.1698935586411126,0.8976251604621309,617371,2111792,0.16418125,Flawil,0.32
3292,SG,Flums,Flums,235,1.0,1.1084905660377358,400,1.9047619047619047,117.68518518518519,1.2049130122330625,0.8952234206471494,79281,1608067,0.16476006944444443,Flums,0.07
4566,TG,Frauenfeld,Frauenfeld,238,1.0484581497797356,1.0625,1120,1.2043010752688172,108.05028181548502,1.2148771691994078,1.1510630695015187,1131567,2747779,0.15113645833333333,Frauenfeld,0.68
4571,TG,Gachnang,Gachnang,245,1.079295154185022,1.0888888888888888,760,1.0704225352112675,153.97408207343412,1.0636297145910414,1.2739987285441832,978536,2900415,0.1454652777777778,Gachnang,1.33
3442,SG,Gaiserwald,Gaiserwald,223,1.0136363636363637,1.0721153846153846,550,0.8208955223880597,111.73972917144825,1.0906772686187542,1.029334730225249,324914,1984798,0.15201736111111114,Gaiserwald,0.3
3272,SG,Gams,Gams,215,0.9555555555555556,1.0336538461538463,320,1.0,114.24356223175965,1.1675920313254473,0.8479591836734693,95836,827243,0.16070277777777778,Gams,0.0
3213,SG,Goldach,Goldach,200,0.9090909090909091,1.0582010582010581,530,0.8153846153846154,120.86272104671369,1.087053564763621,1.0099113197704748,376741,1114849,0.14506354166666666,Goldach,0.67
