BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
1102,LU,Sempach,Sempach,257,1.0489795918367346,1.0321285140562249,810,1.4464285714285714,97.78538812785388,1.2046438004117768,1.02508038585209,365613,3441462,0.14611388888888888,Sempach,0.18
1708,ZG,Steinhausen,Steinhausen,409,0.8872017353579176,1.2100591715976332,3520,1.5172413793103448,114.74180209635541,1.0686750497117206,1.1649286498353457,991824,3226186,0.08768402777777778,Steinhausen,2.1
1103,LU,Sursee,Sursee,259,1.0571428571428572,1.088235294117647,1540,1.1578947368421053,145.7521080787016,1.1846154812998944,1.1531137416366442,831998,3388484,0.14783993055555555,Sursee,0.55
1104,LU,Triengen,Triengen,223,0.9102040816326531,1.0669856459330143,440,1.0,117.08307942311599,1.2114366573447817,0.8559690671822137,324868,3395614,0.15303368055555555,Triengen,0.13
1067,LU,Udligenswil,Udligenswil,277,0.9389830508474576,1.0992063492063493,1000,1.0869565217391304,112.32323232323232,1.045130855986119,0.9196428571428571,487884,2818854,0.151303125,Udligenswil,0.09
1145,LU,Ufhusen,Ufhusen,202,0.926605504587156,1.074468085106383,110,1.1,99.89118607181719,1.1641496756000573,0.702020202020202,30359,1874707,0.16340694444444445,Ufhusen,0.0
1709,ZG,Unterägeri,Unterageri,400,0.8676789587852495,1.2048192771084338,3640,1.4736842105263157,120.17904160084255,0.9781744923527905,1.0215601724813799,237051,2749551,0.08851006944444445,Unterägeri,0.11
1068,LU,Vitznau,Vitznau,305,1.0132890365448506,1.2448979591836735,700,1.3725490196078431,117.75067750677506,1.0569646569646567,1.2477876106194692,90937,1703131,0.1357361111111111,Vitznau,0.0
1710,ZG,Walchwil,Walchwil,441,0.9566160520607375,1.185483870967742,2800,1.2334801762114538,102.70337922403004,0.9705460524675241,0.8933177022274325,883039,2272884,0.08726944444444444,Walchwil,0.06
1146,LU,Wauwil,Wauwil,235,1.0779816513761469,1.0829493087557605,510,1.3421052631578947,144.9624060150376,1.19780620744555,0.9547738693467337,531443,3226987,0.15821979166666666,Wauwil,0.14
1069,LU,Weggis,Weggis,349,1.159468438538206,1.159468438538206,1340,1.276190476190476,113.44805608667941,0.9521033071707111,1.0417582417582418,188858,2255507,0.13400451388888887,Weggis,0.0
1009,LU,Werthenstein,Werthenstein,211,0.9678899082568807,1.0765306122448979,160,0.64,104.90600641907382,1.326217679875619,0.9634464751958224,352831,2057007,0.1616767361111111,Werthenstein,0.06
1147,LU,Wikon,Wikon,206,0.8728813559322034,1.1444444444444444,250,0.78125,116.16766467065868,1.1688549754012003,0.7915451895043731,682458,3884159,0.1668690972222222,Wikon,0.94
1151,LU,Willisau,Willisau,218,1.0,1.117948717948718,280,1.2173913043478262,109.97619562865181,1.0854032155700006,1.0118621307072515,358433,2127261,0.15995138888888888,Willisau,0.19
1107,LU,Wolhusen,Wolhusen,220,1.0091743119266054,1.083743842364532,350,1.206896551724138,108.23678112492101,1.2361668616565045,0.9503252513305737,297455,1998576,0.1668690972222222,Wolhusen,0.49
1150,LU,Zell (LU),Zell_LU,194,0.8899082568807339,1.0601092896174864,140,0.9333333333333333,115.28344671201815,1.1278461622554123,0.8954248366013071,265159,2319836,0.15303368055555555,Zell (LU),0.0
1711,ZG,Zug,Zug,529,1.1475054229934925,1.111344537815126,6340,1.7181571815718157,129.9327563663533,0.9606905440606784,1.2998668851116117,1582737,3184338,0.08690034722222223,Zug,1.69
